,2020-21,2021-22,2022-23,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2012-13,2008-09,2009-10,2010-11,2011-12,2007-08
203991,"['2020-21', 63, 63, 30.1, 6.6, 11.0, 0.594, 0.0, 0.0, 0.0, 2.1, 3.6, 0.573, 4.7, 9.6, 14.3, 0.8, 0.7, 2.0, 1.2, 2.3, 15.2, 1610612737, 27.0, '6-10', 'Clint Capela', 'Center']","['2021-22', 74, 73, 27.6, 5.0, 8.2, 0.613, 0.0, 0.0, 0.0, 1.1, 2.3, 0.473, 3.8, 8.1, 11.9, 1.2, 0.7, 1.3, 0.6, 2.2, 11.1, 1610612737, 28.0, '6-10', 'Clint Capela', 'Center']","['2022-23', 65, 63, 26.6, 5.4, 8.2, 0.653, 0.0, 0.0, 0.0, 1.2, 2.0, 0.603, 4.0, 7.1, 11.0, 0.9, 0.7, 1.2, 0.8, 2.1, 12.0, 1610612737, 29.0, '6-10', 'Clint Capela', 'Center']",,"['2014-15', 12, 0, 7.5, 1.2, 2.4, 0.483, 0.0, 0.0, 0.0, 0.3, 1.9, 0.174, 0.8, 2.2, 3.0, 0.2, 0.1, 0.8, 0.4, 1.2, 2.7, 1610612745, 21.0, '6-10', 'Clint Capela', 'Center']","['2015-16', 77, 35, 19.1, 3.0, 5.2, 0.582, 0.0, 0.0, 0.0, 1.0, 2.7, 0.379, 2.5, 3.9, 6.4, 0.6, 0.8, 1.2, 0.8, 2.5, 7.0, 1610612745, 22.0, '6-10', 'Clint Capela', 'Center']","['2016-17', 65, 59, 23.9, 5.6, 8.7, 0.643, 0.0, 0.0, 0.0, 1.4, 2.7, 0.531, 2.7, 5.4, 8.1, 1.0, 0.5, 1.2, 1.3, 2.8, 12.6, 1610612745, 23.0, '6-10', 'Clint Capela', 'Center']","['2017-18', 74, 74, 27.5, 6.0, 9.1, 0.652, 0.0, 0.0, 0.0, 1.9, 3.5, 0.56, 3.3, 7.6, 10.8, 0.9, 0.8, 1.9, 1.4, 2.5, 13.9, 1610612745, 24.0, '6-10', 'Clint Capela', 'Center']","['2018-19', 67, 67, 33.6, 7.1, 10.9, 0.648, 0.0, 0.0, 0.0, 2.5, 3.9, 0.636, 4.4, 8.2, 12.7, 1.4, 0.7, 1.5, 1.4, 2.5, 16.6, 1610612745, 25.0, '6-10', 'Clint Capela', 'Center']","['2019-20', 39, 39, 32.8, 6.3, 9.9, 0.629, 0.0, 0.0, 0.0, 1.4, 2.7, 0.529, 4.3, 9.5, 13.8, 1.2, 0.8, 1.8, 1.6, 2.6, 13.9, 1610612745, 26.0, '6-10', 'Clint Capela', 'Center']",,,,,,
1630176,"['2020-21', 19, 4, 6.0, 0.9, 1.9, 0.5, 0.1, 0.4, 0.143, 0.5, 0.6, 0.818, 0.3, 1.1, 1.4, 0.1, 0.1, 0.3, 0.3, 0.7, 2.4, 1610612766, 20.0, '6-10', 'Vernon Carey Jr.', 'Center']","['2021-22', 7, 1, 6.3, 1.0, 1.9, 0.538, 0.0, 0.0, 0.0, 0.9, 1.9, 0.462, 1.1, 0.6, 1.7, 0.0, 0.3, 0.1, 0.4, 0.6, 2.9, 0, 21.0, '6-10', 'Vernon Carey Jr.', 'Center']","['2022-23', 11, 0, 2.6, 0.2, 0.7, 0.25, 0.0, 0.0, 0.0, 0.2, 0.2, 1.0, 0.3, 0.7, 1.0, 0.3, 0.2, 0.2, 0.2, 0.5, 0.5, 1610612764, 22.0, '6-10', 'Vernon Carey Jr.', 'Center']",,,,,,,,,,,,,
1628975,"['2020-21', 60, 1, 11.9, 1.6, 3.7, 0.422, 0.9, 2.5, 0.371, 0.1, 0.1, 0.571, 0.3, 1.3, 1.5, 1.2, 0.5, 0.2, 0.3, 0.9, 4.1, 1610612756, 25.0, '6-1', 'Jevon Carter', 'Guard']","['2021-22', 66, 3, 13.7, 1.5, 3.8, 0.387, 1.0, 2.6, 0.388, 0.2, 0.3, 0.833, 0.2, 1.5, 1.7, 1.5, 0.4, 0.2, 0.5, 1.0, 4.2, 0, 26.0, '6-1', 'Jevon Carter', 'Guard']","['2022-23', 81, 39, 22.4, 3.0, 7.0, 0.423, 1.8, 4.2, 0.421, 0.4, 0.5, 0.816, 0.4, 2.1, 2.5, 2.4, 0.8, 0.4, 1.0, 2.0, 8.0, 1610612749, 27.0, '6-1', 'Jevon Carter', 'Guard']",,,,,,"['2018-19', 39, 3, 14.8, 1.4, 4.7, 0.303, 0.9, 2.6, 0.333, 0.7, 0.8, 0.813, 0.4, 1.3, 1.7, 1.8, 0.7, 0.3, 0.8, 1.4, 4.4, 1610612763, 23.0, '6-1', 'Jevon Carter', 'Guard']","['2019-20', 58, 2, 16.3, 1.7, 4.2, 0.416, 1.1, 2.5, 0.425, 0.4, 0.5, 0.852, 0.5, 1.5, 2.0, 1.4, 0.8, 0.3, 0.6, 1.5, 4.9, 1610612756, 24.0, '6-1', 'Jevon Carter', 'Guard']",,,,,,
1628976,"['2020-21', 54, 44, 25.5, 4.3, 8.5, 0.503, 0.3, 0.9, 0.294, 2.4, 3.3, 0.732, 2.4, 5.8, 8.2, 1.9, 0.6, 0.8, 1.4, 2.7, 11.2, 0, 22.0, '6-10', 'Wendell Carter Jr.', 'Center-Forward']","['2021-22', 62, 61, 29.9, 5.8, 11.0, 0.525, 1.1, 3.5, 0.327, 2.3, 3.3, 0.691, 2.2, 8.2, 10.5, 2.8, 0.6, 0.7, 1.9, 2.7, 15.0, 1610612753, 23.0, '6-10', 'Wendell Carter Jr.', 'Center-Forward']","['2022-23', 57, 54, 29.6, 5.6, 10.8, 0.525, 1.4, 3.9, 0.356, 2.5, 3.4, 0.738, 2.1, 6.6, 8.7, 2.3, 0.5, 0.6, 1.9, 2.8, 15.2, 1610612753, 24.0, '6-10', 'Wendell Carter Jr.', 'Center-Forward']",,,,,,"['2018-19', 44, 44, 25.2, 4.1, 8.4, 0.485, 0.1, 0.7, 0.188, 2.0, 2.5, 0.795, 2.0, 5.0, 7.0, 1.8, 0.6, 1.3, 1.5, 3.5, 10.3, 1610612741, 20.0, '6-10', 'Wendell Carter Jr.', 'Center-Forward']","['2019-20', 43, 43, 29.2, 4.3, 8.0, 0.534, 0.1, 0.7, 0.207, 2.6, 3.5, 0.737, 3.2, 6.2, 9.4, 1.2, 0.8, 0.8, 1.7, 3.8, 11.3, 1610612741, 21.0, '6-10', 'Wendell Carter Jr.', 'Center-Forward']",,,,,,
203487,"['2020-21', 31, 25, 25.8, 3.4, 8.7, 0.389, 0.5, 2.0, 0.246, 1.6, 2.6, 0.613, 1.3, 3.2, 4.5, 4.2, 0.8, 0.5, 2.2, 2.6, 8.8, 1610612753, 29.0, '6-5', 'Michael Carter-Williams', 'Guard']",,"['2022-23', 4, 0, 11.1, 1.5, 3.5, 0.429, 0.3, 0.8, 0.333, 1.0, 1.8, 0.571, 0.3, 1.0, 1.3, 1.8, 0.3, 0.3, 1.0, 1.3, 4.3, 1610612753, 31.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2013-14', 70, 70, 34.5, 6.1, 15.1, 0.405, 0.8, 3.0, 0.264, 3.7, 5.2, 0.703, 1.4, 4.8, 6.2, 6.3, 1.9, 0.6, 3.5, 3.0, 16.7, 1610612755, 22.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2014-15', 66, 63, 32.6, 5.5, 13.9, 0.396, 0.5, 2.3, 0.235, 3.1, 4.4, 0.694, 1.0, 4.4, 5.3, 6.7, 1.7, 0.5, 3.8, 2.5, 14.6, 0, 23.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2015-16', 54, 37, 30.5, 4.6, 10.3, 0.452, 0.3, 1.0, 0.273, 2.0, 3.0, 0.654, 0.9, 4.2, 5.1, 5.2, 1.5, 0.8, 2.8, 3.0, 11.5, 1610612749, 24.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2016-17', 45, 19, 18.8, 2.5, 6.8, 0.366, 0.3, 1.4, 0.234, 1.3, 1.7, 0.753, 0.5, 2.9, 3.4, 2.5, 0.8, 0.5, 1.5, 2.3, 6.6, 1610612741, 25.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2017-18', 52, 2, 16.1, 1.5, 4.4, 0.332, 0.3, 1.1, 0.237, 1.4, 1.7, 0.82, 0.7, 1.9, 2.7, 2.2, 0.8, 0.4, 1.0, 1.9, 4.6, 1610612766, 26.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2018-19', 28, 1, 13.3, 1.6, 4.4, 0.374, 0.4, 1.4, 0.263, 1.1, 1.9, 0.604, 0.7, 1.8, 2.5, 2.5, 0.7, 0.5, 0.7, 1.7, 4.8, 0, 27.0, '6-5', 'Michael Carter-Williams', 'Guard']","['2019-20', 45, 0, 18.5, 2.5, 5.8, 0.427, 0.5, 1.7, 0.293, 1.8, 2.1, 0.832, 1.0, 2.2, 3.3, 2.4, 1.1, 0.5, 1.2, 1.9, 7.2, 1610612753, 28.0, '6-5', 'Michael Carter-Williams', 'Guard']",,,,,,
1627936,"['2020-21', 58, 6, 21.0, 2.3, 5.3, 0.436, 0.9, 2.4, 0.401, 0.8, 1.3, 0.645, 0.5, 2.4, 2.9, 2.8, 1.1, 0.3, 1.3, 1.9, 6.4, 1610612747, 27.0, '6-5', 'Alex Caruso', 'Guard']","['2021-22', 41, 18, 28.0, 2.5, 6.2, 0.398, 1.0, 3.1, 0.333, 1.4, 1.8, 0.795, 0.8, 2.8, 3.6, 4.0, 1.7, 0.4, 1.4, 2.6, 7.4, 1610612741, 28.0, '6-5', 'Alex Caruso', 'Guard']","['2022-23', 67, 36, 23.5, 1.9, 4.3, 0.455, 0.8, 2.3, 0.364, 0.9, 1.1, 0.808, 0.6, 2.3, 2.9, 2.9, 1.5, 0.7, 1.1, 2.4, 5.6, 1610612741, 29.0, '6-5', 'Alex Caruso', 'Guard']",,,,,"['2017-18', 37, 7, 15.2, 1.4, 3.1, 0.431, 0.4, 1.2, 0.302, 0.6, 0.8, 0.7, 0.4, 1.4, 1.8, 2.0, 0.6, 0.3, 1.1, 1.4, 3.6, 1610612747, 24.0, '6-5', 'Alex Caruso', 'Guard']","['2018-19', 25, 4, 21.2, 3.1, 6.9, 0.445, 1.0, 2.0, 0.48, 2.0, 2.6, 0.797, 0.8, 1.9, 2.7, 3.1, 1.0, 0.4, 1.7, 2.2, 9.2, 1610612747, 25.0, '6-5', 'Alex Caruso', 'Guard']","['2019-20', 64, 2, 18.4, 1.9, 4.5, 0.412, 0.6, 1.9, 0.333, 1.1, 1.5, 0.734, 0.3, 1.7, 1.9, 1.9, 1.1, 0.3, 0.8, 1.5, 5.5, 1610612747, 26.0, '6-5', 'Alex Caruso', 'Guard']",,,,,,
1629634,"['2020-21', 59, 16, 24.0, 4.3, 8.4, 0.517, 0.3, 1.3, 0.26, 1.3, 1.9, 0.69, 1.6, 3.9, 5.6, 1.6, 1.0, 0.9, 0.6, 1.4, 10.3, 1610612763, 24.0, '6-8', 'Brandon Clarke', 'Forward']","['2021-22', 64, 1, 19.5, 4.5, 7.0, 0.644, 0.1, 0.3, 0.227, 1.3, 2.0, 0.654, 2.1, 3.2, 5.3, 1.3, 0.6, 1.1, 0.5, 1.9, 10.4, 1610612763, 25.0, '6-8', 'Brandon Clarke', 'Forward']","['2022-23', 56, 8, 19.5, 4.1, 6.2, 0.656, 0.0, 0.1, 0.167, 1.8, 2.4, 0.723, 1.6, 3.9, 5.5, 1.3, 0.6, 0.7, 1.0, 2.3, 10.0, 1610612763, 26.0, '6-8', 'Brandon Clarke', 'Forward']",,,,,,,"['2019-20', 58, 4, 22.4, 5.1, 8.3, 0.618, 0.4, 1.1, 0.359, 1.5, 1.9, 0.759, 1.6, 4.4, 5.9, 1.4, 0.6, 0.8, 0.9, 1.7, 12.1, 1610612763, 23.0, '6-8', 'Brandon Clarke', 'Forward']",,,,,,
203903,"['2020-21', 68, 1, 26.7, 6.7, 15.8, 0.425, 3.1, 8.8, 0.347, 1.9, 2.1, 0.896, 0.7, 3.3, 4.0, 2.5, 0.9, 0.1, 1.7, 1.6, 18.4, 1610612762, 29.0, '6-5', 'Jordan Clarkson', 'Guard']","['2021-22', 79, 1, 27.1, 5.9, 14.1, 0.419, 2.4, 7.6, 0.318, 1.8, 2.2, 0.828, 0.8, 2.6, 3.5, 2.5, 0.8, 0.2, 1.6, 1.9, 16.0, 1610612762, 30.0, '6-5', 'Jordan Clarkson', 'Guard']","['2022-23', 61, 61, 32.6, 7.5, 16.9, 0.444, 2.5, 7.5, 0.338, 3.3, 4.0, 0.816, 1.2, 2.9, 4.0, 4.4, 0.5, 0.2, 3.0, 2.0, 20.8, 1610612762, 31.0, '6-5', 'Jordan Clarkson', 'Guard']",,"['2014-15', 59, 38, 25.0, 4.5, 10.1, 0.448, 0.6, 2.1, 0.314, 2.2, 2.7, 0.829, 0.9, 2.3, 3.2, 3.5, 0.9, 0.2, 1.6, 1.8, 11.9, 1610612747, 23.0, '6-5', 'Jordan Clarkson', 'Guard']","['2015-16', 79, 79, 32.3, 6.0, 13.9, 0.433, 1.4, 4.1, 0.347, 2.1, 2.6, 0.804, 1.2, 2.8, 4.0, 2.4, 1.1, 0.1, 1.7, 2.1, 15.5, 1610612747, 24.0, '6-5', 'Jordan Clarkson', 'Guard']","['2016-17', 82, 19, 29.2, 5.8, 13.1, 0.445, 1.4, 4.3, 0.329, 1.6, 2.0, 0.798, 0.6, 2.4, 3.0, 2.6, 1.1, 0.1, 2.0, 1.8, 14.7, 1610612747, 25.0, '6-5', 'Jordan Clarkson', 'Guard']","['2017-18', 81, 2, 23.3, 5.3, 11.8, 0.451, 1.4, 3.9, 0.352, 1.9, 2.3, 0.8, 0.7, 2.0, 2.7, 2.7, 0.7, 0.1, 1.6, 1.3, 13.9, 0, 26.0, '6-5', 'Jordan Clarkson', 'Guard']","['2018-19', 81, 0, 27.3, 6.5, 14.6, 0.448, 1.8, 5.5, 0.324, 2.0, 2.4, 0.844, 1.0, 2.3, 3.3, 2.4, 0.7, 0.2, 1.7, 1.4, 16.8, 1610612739, 27.0, '6-5', 'Jordan Clarkson', 'Guard']","['2019-20', 71, 2, 24.0, 5.5, 12.2, 0.454, 2.1, 5.8, 0.368, 1.9, 2.3, 0.836, 0.7, 1.9, 2.6, 1.9, 0.6, 0.2, 1.4, 1.5, 15.2, 0, 28.0, '6-5', 'Jordan Clarkson', 'Guard']",,,,,,
1629651,"['2020-21', 32, 1, 18.6, 2.8, 4.5, 0.621, 0.0, 0.2, 0.2, 1.0, 2.0, 0.484, 1.3, 3.8, 5.2, 0.9, 0.7, 1.3, 0.6, 2.1, 6.6, 1610612751, 22.0, '6-11', 'Nic Claxton', 'Center']","['2021-22', 47, 19, 20.7, 3.8, 5.6, 0.674, 0.0, 0.0, 0.0, 1.1, 2.0, 0.581, 1.9, 3.7, 5.6, 0.9, 0.5, 1.1, 0.8, 2.3, 8.7, 1610612751, 23.0, '6-11', 'Nic Claxton', 'Center']","['2022-23', 76, 76, 29.9, 5.4, 7.7, 0.705, 0.0, 0.0, 0.0, 1.8, 3.2, 0.541, 2.4, 6.8, 9.2, 1.9, 0.9, 2.5, 1.3, 2.8, 12.6, 1610612751, 24.0, '6-11', 'Nic Claxton', 'Center']",,,,,,,"['2019-20', 15, 0, 12.5, 1.8, 3.2, 0.563, 0.1, 0.5, 0.143, 0.7, 1.4, 0.524, 1.3, 1.7, 2.9, 1.1, 0.1, 0.5, 0.6, 0.9, 4.4, 1610612751, 21.0, '6-11', 'Nic Claxton', 'Center']",,,,,,
1629599,"['2020-21', 44, 1, 9.0, 1.0, 2.3, 0.437, 0.5, 1.3, 0.411, 0.6, 0.9, 0.711, 0.2, 0.8, 1.0, 0.5, 0.2, 0.0, 0.3, 0.7, 3.2, 1610612746, 24.0, '6-7', 'Amir Coffey', 'Guard-Forward']","['2021-22', 69, 30, 22.7, 3.1, 6.8, 0.453, 1.4, 3.7, 0.378, 1.5, 1.7, 0.863, 0.4, 2.5, 2.9, 1.8, 0.6, 0.2, 0.7, 1.3, 9.0, 1610612746, 25.0, '6-7', 'Amir Coffey', 'Guard-Forward']","['2022-23', 50, 9, 12.5, 1.1, 2.9, 0.386, 0.2, 0.8, 0.275, 1.0, 1.3, 0.778, 0.3, 0.7, 1.1, 1.1, 0.1, 0.1, 0.4, 1.0, 3.4, 1610612746, 26.0, '6-7', 'Amir Coffey', 'Guard-Forward']",,,,,,,"['2019-20', 18, 1, 8.8, 1.3, 3.0, 0.426, 0.3, 1.1, 0.316, 0.3, 0.6, 0.545, 0.2, 0.7, 0.9, 0.8, 0.3, 0.1, 0.4, 1.1, 3.2, 1610612746, 23.0, '6-7', 'Amir Coffey', 'Guard-Forward']",,,,,,
1628381,"['2020-21', 63, 63, 29.3, 6.8, 12.2, 0.556, 1.3, 3.3, 0.399, 2.7, 3.2, 0.833, 1.9, 5.5, 7.4, 1.2, 0.5, 1.0, 1.3, 3.1, 17.6, 1610612737, 23.0, '6-9', 'John Collins', 'Forward-Center']","['2021-22', 54, 53, 30.8, 6.3, 11.9, 0.526, 1.2, 3.3, 0.364, 2.5, 3.1, 0.793, 1.7, 6.1, 7.8, 1.8, 0.6, 1.0, 1.1, 3.0, 16.2, 1610612737, 24.0, '6-9', 'John Collins', 'Forward-Center']","['2022-23', 71, 71, 30.0, 5.1, 10.0, 0.508, 1.0, 3.4, 0.292, 2.0, 2.5, 0.803, 1.1, 5.4, 6.5, 1.2, 0.6, 1.0, 1.1, 3.1, 13.1, 1610612737, 25.0, '6-9', 'John Collins', 'Forward-Center']",,,,,"['2017-18', 74, 26, 24.1, 4.2, 7.4, 0.576, 0.2, 0.6, 0.34, 1.8, 2.5, 0.715, 2.4, 4.9, 7.3, 1.3, 0.6, 1.1, 1.4, 2.9, 10.5, 1610612737, 20.0, '6-9', 'John Collins', 'Forward-Center']","['2018-19', 61, 59, 30.0, 7.6, 13.6, 0.56, 0.9, 2.6, 0.348, 3.3, 4.4, 0.763, 3.6, 6.2, 9.8, 2.0, 0.4, 0.6, 2.0, 3.3, 19.5, 1610612737, 21.0, '6-9', 'John Collins', 'Forward-Center']","['2019-20', 41, 41, 33.2, 8.6, 14.8, 0.583, 1.4, 3.6, 0.401, 2.9, 3.7, 0.8, 2.8, 7.3, 10.1, 1.5, 0.8, 1.6, 1.8, 3.4, 21.6, 1610612737, 22.0, '6-9', 'John Collins', 'Forward-Center']",,,,,,
201144,"['2020-21', 51, 51, 29.4, 5.6, 12.5, 0.444, 2.7, 6.6, 0.412, 2.4, 2.8, 0.852, 0.7, 2.8, 3.5, 6.0, 1.4, 0.2, 1.9, 1.9, 16.2, 1610612762, 33.0, '6-1', 'Mike Conley', 'Guard']","['2021-22', 72, 72, 28.6, 4.8, 11.0, 0.435, 2.3, 5.8, 0.408, 1.8, 2.3, 0.796, 0.7, 2.4, 3.0, 5.3, 1.3, 0.3, 1.7, 2.0, 13.7, 1610612762, 34.0, '6-1', 'Mike Conley', 'Guard']","['2022-23', 67, 66, 30.3, 3.9, 9.1, 0.428, 2.0, 5.2, 0.385, 2.1, 2.5, 0.834, 0.5, 2.2, 2.7, 6.7, 1.1, 0.2, 1.5, 2.1, 11.9, 0, 35.0, '6-1', 'Mike Conley', 'Guard']","['2013-14', 73, 73, 33.5, 6.3, 14.1, 0.45, 1.4, 4.0, 0.361, 3.1, 3.8, 0.815, 0.6, 2.4, 2.9, 6.0, 1.5, 0.2, 2.1, 1.9, 17.2, 1610612763, 26.0, '6-1', 'Mike Conley', 'Guard']","['2014-15', 70, 70, 31.8, 5.6, 12.6, 0.446, 1.5, 4.0, 0.386, 3.1, 3.6, 0.859, 0.4, 2.6, 3.0, 5.4, 1.3, 0.2, 2.2, 2.0, 15.8, 1610612763, 27.0, '6-1', 'Mike Conley', 'Guard']","['2015-16', 56, 56, 31.4, 5.3, 12.4, 0.422, 1.4, 3.8, 0.363, 3.4, 4.1, 0.834, 0.5, 2.5, 2.9, 6.1, 1.2, 0.3, 1.5, 1.8, 15.3, 1610612763, 28.0, '6-1', 'Mike Conley', 'Guard']","['2016-17', 69, 68, 33.2, 6.7, 14.6, 0.46, 2.5, 6.1, 0.408, 4.6, 5.3, 0.859, 0.4, 3.0, 3.5, 6.3, 1.3, 0.3, 2.3, 1.8, 20.5, 1610612763, 29.0, '6-1', 'Mike Conley', 'Guard']","['2017-18', 12, 12, 31.1, 5.3, 14.0, 0.381, 2.0, 6.4, 0.312, 4.4, 5.5, 0.803, 0.0, 2.3, 2.3, 4.1, 1.0, 0.3, 1.5, 2.0, 17.1, 1610612763, 30.0, '6-1', 'Mike Conley', 'Guard']","['2018-19', 70, 70, 33.5, 7.0, 16.0, 0.438, 2.2, 6.1, 0.364, 4.9, 5.8, 0.845, 0.6, 2.8, 3.4, 6.4, 1.3, 0.3, 1.9, 1.8, 21.1, 1610612763, 31.0, '6-1', 'Mike Conley', 'Guard']","['2019-20', 47, 41, 29.0, 4.9, 12.1, 0.409, 2.0, 5.4, 0.375, 2.4, 3.0, 0.827, 0.7, 2.5, 3.2, 4.4, 0.8, 0.1, 2.0, 2.2, 14.4, 1610612762, 32.0, '6-1', 'Mike Conley', 'Guard']","['2012-13', 80, 80, 34.5, 5.2, 11.8, 0.44, 1.3, 3.7, 0.362, 2.9, 3.5, 0.83, 0.5, 2.3, 2.8, 6.1, 2.2, 0.3, 2.4, 2.1, 14.6, 1610612763, 25.0, '6-1', 'Mike Conley', 'Guard']","['2008-09', 82, 61, 30.6, 3.9, 8.9, 0.442, 1.1, 2.6, 0.406, 2.0, 2.4, 0.817, 0.3, 3.1, 3.4, 4.3, 1.1, 0.1, 1.7, 1.8, 10.9, 1610612763, 21.0, '6-1', 'Mike Conley', 'Guard']","['2009-10', 80, 80, 32.1, 4.6, 10.4, 0.445, 1.0, 2.7, 0.387, 1.7, 2.3, 0.743, 0.4, 2.0, 2.4, 5.3, 1.4, 0.2, 2.1, 2.2, 12.0, 1610612763, 22.0, '6-1', 'Mike Conley', 'Guard']","['2010-11', 81, 81, 35.5, 5.2, 11.8, 0.444, 1.0, 2.7, 0.369, 2.2, 3.0, 0.733, 0.4, 2.7, 3.0, 6.5, 1.8, 0.2, 2.2, 2.2, 13.7, 1610612763, 23.0, '6-1', 'Mike Conley', 'Guard']","['2011-12', 62, 61, 35.1, 4.8, 11.0, 0.433, 1.0, 2.6, 0.377, 2.2, 2.5, 0.861, 0.4, 2.2, 2.5, 6.5, 2.2, 0.2, 2.0, 2.1, 12.7, 1610612763, 24.0, '6-1', 'Mike Conley', 'Guard']","['2007-08', 53, 46, 26.1, 3.6, 8.3, 0.428, 0.6, 1.7, 0.33, 1.7, 2.3, 0.732, 0.4, 2.2, 2.6, 4.2, 0.8, 0.0, 1.7, 1.6, 9.4, 1610612763, 20.0, '6-1', 'Mike Conley', 'Guard']"
1630583,,"['2021-22', 32, 0, 11.2, 1.7, 4.1, 0.402, 0.2, 1.5, 0.125, 0.6, 1.0, 0.625, 1.0, 1.7, 2.7, 0.7, 0.2, 0.3, 0.5, 1.1, 4.1, 1610612763, 21.0, '7-0', 'Santi Aldama', 'Forward-Center']","['2022-23', 77, 20, 21.8, 3.2, 6.8, 0.47, 1.2, 3.5, 0.353, 1.4, 1.9, 0.75, 1.1, 3.7, 4.8, 1.3, 0.6, 0.6, 0.8, 1.9, 9.0, 1610612763, 22.0, '7-0', 'Santi Aldama', 'Forward-Center']",,,,,,,,,,,,,
1630631,,"['2021-22', 54, 1, 15.4, 2.4, 5.4, 0.446, 0.6, 2.0, 0.291, 0.7, 1.0, 0.679, 0.5, 1.4, 1.9, 2.8, 1.3, 0.1, 0.7, 1.4, 6.1, 1610612740, 24.0, '6-0', 'Jose Alvarado', 'Guard']","['2022-23', 61, 10, 21.5, 3.3, 8.0, 0.411, 1.4, 4.0, 0.336, 1.1, 1.3, 0.813, 0.5, 1.9, 2.3, 3.0, 1.1, 0.2, 1.3, 2.0, 9.0, 1610612740, 25.0, '6-0', 'Jose Alvarado', 'Guard']",,,,,,,,,,,,,
1630625,,"['2021-22', 64, 1, 10.9, 1.3, 3.2, 0.411, 0.2, 0.8, 0.255, 0.4, 0.7, 0.591, 0.6, 1.3, 1.9, 1.5, 0.4, 0.2, 0.8, 1.1, 3.2, 1610612761, 22.0, '6-7', 'Dalano Banton', 'Forward']","['2022-23', 31, 2, 9.0, 1.8, 4.2, 0.423, 0.5, 1.6, 0.294, 0.5, 0.8, 0.708, 0.4, 1.1, 1.5, 1.2, 0.4, 0.4, 0.6, 1.1, 4.6, 1610612761, 23.0, '6-7', 'Dalano Banton', 'Forward']",,,,,,,,,,,,,
1630567,,"['2021-22', 74, 74, 35.4, 6.2, 12.6, 0.492, 0.8, 2.6, 0.301, 2.1, 2.9, 0.735, 2.6, 4.9, 7.5, 3.5, 1.1, 0.7, 1.8, 2.6, 15.3, 1610612761, 20.0, '6-8', 'Scottie Barnes', 'Forward']","['2022-23', 77, 76, 34.8, 6.0, 13.2, 0.456, 0.8, 2.9, 0.281, 2.5, 3.2, 0.772, 2.3, 4.3, 6.6, 4.8, 1.1, 0.8, 2.0, 2.2, 15.3, 1610612761, 21.0, '6-8', 'Scottie Barnes', 'Forward']",,,,,,,,,,,,,
1629646,,"['2021-22', 23, 0, 7.3, 1.3, 2.0, 0.638, 0.0, 0.2, 0.0, 0.4, 0.5, 0.75, 1.0, 1.7, 2.7, 0.3, 0.2, 0.7, 0.3, 1.4, 3.0, 1610612755, 21.0, '6-9', 'Charles Bassey', 'Center-Forward']","['2022-23', 35, 2, 14.5, 2.5, 3.9, 0.644, 0.1, 0.2, 0.375, 0.6, 1.1, 0.595, 2.1, 3.4, 5.5, 1.4, 0.5, 0.9, 1.2, 2.1, 5.7, 1610612759, 22.0, '6-9', 'Charles Bassey', 'Center-Forward']",,,,,,,,,,,,,
1630195,,"['2021-22', 35, 2, 6.9, 0.5, 1.5, 0.315, 0.1, 0.5, 0.278, 0.3, 0.4, 0.846, 0.5, 0.8, 1.2, 0.6, 0.2, 0.0, 0.4, 0.7, 1.4, 1610612750, 21.0, '6-6', 'Leandro Bolmaro', 'Forward']","['2022-23', 14, 0, 4.9, 0.2, 1.4, 0.15, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.3, 0.2, 0.5, 0.5, 0.2, 0.1, 0.5, 0.7, 0.4, 1610612762, 22.0, '6-6', 'Leandro Bolmaro', 'Forward']",,,,,,,,,,,,,
1630527,,"['2021-22', 51, 0, 14.9, 2.5, 6.4, 0.385, 0.7, 2.2, 0.306, 1.2, 1.4, 0.819, 0.3, 1.8, 2.2, 1.0, 0.5, 0.3, 0.6, 0.8, 6.7, 1610612746, 20.0, '6-6', 'Brandon Boston Jr.', 'Guard']","['2022-23', 22, 1, 11.3, 2.3, 5.5, 0.418, 0.5, 1.3, 0.414, 1.3, 1.7, 0.763, 0.3, 1.0, 1.4, 0.9, 0.4, 0.0, 0.5, 1.0, 6.5, 1610612746, 21.0, '6-6', 'Brandon Boston Jr.', 'Guard']",,,,,,,,,,,,,
1630547,,"['2021-22', 31, 0, 9.8, 1.6, 4.5, 0.348, 0.5, 1.6, 0.347, 0.9, 1.0, 0.871, 0.7, 1.0, 1.7, 0.8, 0.2, 0.0, 0.5, 0.9, 4.6, 1610612766, 21.0, '6-4', 'James Bouknight', 'Guard']","['2022-23', 34, 0, 15.2, 2.0, 5.7, 0.358, 1.0, 3.2, 0.303, 0.6, 0.9, 0.667, 0.2, 1.9, 2.1, 1.2, 0.4, 0.1, 0.9, 1.4, 5.6, 1610612766, 22.0, '6-4', 'James Bouknight', 'Guard']",,,,,,,,,,,,,
